1631-kuemper-darcy,1.5,5.0,3.33,300000.0
1514-markstrom-jacob,1.5,4.0,2.67,375000.0
1386-burmistrov-alex,1.5,21.0,14.0,71428.57
2708-slepyshev-anton,0.925,1.0,1.08,925000.0
248-neil-chris,1.5,13.0,8.67,115384.62
737-campbell-gregory,1.7,12.0,7.06,141666.67
833-greiss-thomas,1.0,4.0,4.0,250000.0
835-mccormick-cody,1.5,4.0,2.67,375000.0
293-vanek-thomas,2.6,41.0,15.77,63414.63
1309-stalberg-viktor,1.5,20.0,13.33,75000.0
1644-kassian-zack,2.0,8.0,4.0,250000.0
1620-maroon-patrick,0.5,13.0,26.0,38461.54
737-campbell-gregory,1.7,12.0,7.06,141666.67
2580-vasilevskiy-andrei,0.925,0.0,0.0,0
2212-subban-malcolm,0.833,0.0,0.0,0
2255-sustr-andrej,1.3,21.0,16.15,61904.76
2301-berra-reto,1.5,1.0,0.67,1500000.0
821-glass-tanner,1.0,1.0,1.0,1000000.0
2347-marchenko-alexey,0.7,11.0,15.71,63636.36
2301-berra-reto,1.5,1.0,0.67,1500000.0
821-glass-tanner,1.0,1.0,1.0,1000000.0
379-ribeiro-mike,3.5,50.0,14.29,70000.0
2252-koekkoek-slater,0.925,1.0,1.08,925000.0
1730-davidson-brandon,0.585,11.0,18.8,53181.82
2763-larkin-dylan,0.925,45.0,48.65,20555.56
2573-gostisbehere-shayne,0.925,46.0,49.73,20108.7
2532-wennberg-alexander,0.925,40.0,43.24,23125.0
2196-pearson-tanner,1.25,36.0,28.8,34722.22
32-gilbert-tom,2.8,2.0,0.71,1400000.0
1866-schultz-justin,3.9,8.0,2.05,487500.0
2648-pulock-ryan,0.925,4.0,4.32,231250.0
2388-domi-max,0.925,52.0,56.22,17788.46
2617-fiala-kevin,0.925,1.0,1.08,925000.0
2251-hammond-andrew,1.2,4.0,3.33,300000.0
2406-teravainen-teuvo,0.925,35.0,37.84,26428.57
1996-faksa-radek,0.833,12.0,14.41,69416.67
880-mcleod-cody,1.5,13.0,8.67,115384.62
671-gleason-tim,1.833,9.0,4.91,203666.67
1235-parenteau-p-a-,1.25,41.0,32.8,30487.8
2607-mueller-mirco,0.925,4.0,4.32,231250.0
844-mackenzie-derek,1.3,13.0,10.0,100000.0
2181-grigorenko-mikhail,0.675,27.0,40.0,25000.0
1630-holland-peter,0.775,27.0,34.84,28703.7
